finger 1, finger 2, finger 3, finger 4, finger 5, pitch1, roll1, yaw1, pitch2, roll2, yaw2, a1x, a1y, a1z, g1x, g1y, g1z, a2x, a2y, a2z, g2x, g2y, g2z
91,56,14,33,24,-1.91,85.97,64.6,-66,37.26,19.51,0.32,9.45,0.67,-0.01,0.03,0.02,9.49,2.56,3.36,-0.07,0.02,-0.03
91,56,30,36,36,-2.55,84.91,63.31,-66.21,37.76,19.21,0.43,9.52,0.85,-0.07,0.05,0.03,9.39,2.53,3.27,-0.07,-0.01,0
91,56,38,36,24,-2.71,85.14,60.81,-65.85,37.67,19.54,0.45,9.38,0.8,-0.04,0.05,0.04,9.36,2.56,3.32,-0.07,-0.02,-0.03
91,56,40,36,21,-2.81,86.8,48.68,-65.53,38.68,19.56,0.45,9.2,0.51,-0.03,0.03,0.03,9.25,2.63,3.29,-0.07,0.01,-0.03
91,56,56,27,28,-2.85,84.4,62.97,-66.76,38.4,18.6,0.48,9.58,0.94,-0.02,0.04,0.04,9.43,2.52,3.17,-0.06,-0.02,-0.03
91,56,24,20,15,-2.4,85.06,64.04,-65.75,37.18,19.74,0.4,9.45,0.82,-0.04,0.03,0.04,9.5,2.59,3.41,-0.07,-0.01,-0.02
91,56,12,31,15,-2.83,85.87,55.47,-65.48,38.51,19.64,0.46,9.36,0.68,-0.05,0.04,0.02,9.32,2.65,3.33,-0.08,0.02,-0.01
91,56,8,47,25,-2.97,84.58,61.26,-66.73,37.4,18.86,0.5,9.66,0.92,-0.06,0.06,0.03,9.58,2.5,3.27,-0.07,-0.02,-0.01
91,56,-18,33,25,-2.57,85.44,60.53,-65.97,37.7,19.43,0.43,9.46,0.75,-0.08,0.04,0.03,9.47,2.58,3.34,-0.06,-0.01,0.02
91,56,-28,11,-3,-1.8,86.35,63.71,-65.59,37.85,19.71,0.29,9.27,0.59,-0.08,0.03,0.01,9.35,2.6,3.35,-0.08,0,0.03
91,56,-6,20,13,-3.21,84.42,60.03,-66.92,37.56,18.67,0.53,9.44,0.92,-0.03,0.01,0,9.45,2.46,3.19,-0.08,0.01,-0.01
91,56,0,24,13,-3.52,85.44,52.25,-66.28,38.85,18.89,0.57,9.31,0.74,-0.04,0.07,0.03,9.28,2.56,3.18,-0.06,0.01,-0.02
91,56,-6,24,22,-2.22,84.88,66.53,-66.38,37.33,19.18,0.37,9.55,0.85,-0.03,0.05,0.05,9.48,2.51,3.3,-0.05,-0.02,-0.03
91,56,6,38,19,-2.27,85.16,64.81,-65.92,36.63,19.73,0.38,9.55,0.81,-0.06,0.04,0.04,9.57,2.55,3.43,-0.05,-0.02,0.01
91,56,22,47,48,-1.93,85.79,65.38,-65.75,36.84,19.83,0.32,9.38,0.69,-0.05,0.05,0.03,9.42,2.55,3.4,-0.07,0.01,-0.01
91,56,34,65,39,-1.81,84.66,71.28,-65.93,36.85,19.67,0.3,9.37,0.88,-0.04,0.03,0.01,9.22,2.47,3.3,-0.08,0.03,0
91,56,26,47,36,-2.82,84.9,61.04,-65.97,37.04,19.59,0.46,9.31,0.83,-0.04,0.02,0.03,9.22,2.48,3.28,-0.06,0,-0.02
91,56,44,38,36,-2.29,85.13,64.74,-66.11,36.29,19.65,0.38,9.47,0.81,-0.04,0.04,0.05,9.54,2.5,3.41,-0.06,-0.04,-0.03
91,56,48,45,42,-2,85.07,67.88,-66.04,37.61,19.4,0.33,9.49,0.82,-0.06,0.03,0.03,9.42,2.55,3.32,-0.08,-0.04,-0.02
91,56,58,101,43,-3.15,84.98,57.88,-66.69,37.61,18.85,0.52,9.38,0.82,-0.06,0.01,0.04,9.5,2.5,3.24,-0.09,-0.06,-0.03
91,56,62,87,55,-2.36,85.56,61.95,-66.25,38.13,19.09,0.39,9.37,0.73,-0.06,0.05,0.03,9.37,2.55,3.24,-0.07,0,-0.01
91,56,66,85,58,-2.87,85.49,57.49,-66.08,38.48,19.15,0.47,9.29,0.73,-0.04,0.03,0.02,9.25,2.55,3.21,-0.07,0,-0.02
91,56,32,85,63,-2.5,83.8,67.99,-67.02,35.96,18.95,0.42,9.55,1.04,-0.04,0.05,0.04,9.56,2.38,3.28,-0.06,-0.01,-0.02
91,56,34,60,76,-1.37,85.72,72.28,-65.63,36.55,20,0.22,9.3,0.7,-0.04,0.04,0.02,9.33,2.52,3.4,-0.07,0.01,-0.01
91,56,22,15,67,-2.4,85.24,63.22,-66.07,36.64,19.6,0.39,9.34,0.78,-0.04,0.05,0.03,9.29,2.46,3.31,-0.07,0,-0.03
91,56,10,29,43,-1.51,84.8,73.74,-66.28,35.81,19.61,0.25,9.48,0.86,-0.02,0.03,0.05,9.44,2.43,3.36,-0.05,-0.02,-0.04
